start	end	text
0	5200	Звук пропадал.
6560	11680	Какие здесь основные показатели существуют? Приемистость – это объем закачки скважину за единицу времени.
12520	15980	И само по себе это не определяет сразу эффективные закачки.
16140	19060	Эффективность закачки определяется по добывающему фонду скважины.
19060	25140	То, что скважина у нас принимает воду, это по сути решение только одной из проблем, когда мы разгружаем товарный парк.
25140	36040	А когда мы смотрим все-таки участок, что и правильно делать, в принципе, и для человека, и для спирта, и для агентов,
36740	39500	то здесь следует учитывать такие показатели, как компенсация.
40160	44300	Это соотношение закачки и отбора жидкости в пластовых условиях.
44300	46360	То есть сколько мы отобрали, сколько мы закачали.
46480	53260	Это как раз целевая, можно сказать, функция по матбалансу для агента, который стремится максимально закачать воду.
53260	62100	Сразу пытаюсь вам такие направления дать, чтобы сберечь время, потому что когда строишь агентов сетями,
62180	67220	между ними обязываешь, первое, что пытается сделать агент, это разогнать максимум свою скважину,
67320	73940	если ты на летательную закачку в закачку, добывающую в добывающую, забойку в минимальную, на летательную максимальную закачку.
73940	76940	Вот эти вещи, чтобы учитывать, сразу резать нужны компенсации.
76940	83220	Во-первых, есть у меня вода с физическим ограничением, а потом уже геологическим,
83480	89080	то с учетом того, чего мы говорили про макронеоднородность, про фазовую проницаемость,
89360	93380	ну и про, в принципе, направление фронтового теснения.
93560	95180	Такое тоже является ключевым.
96080	98120	И как мы оцениваем закачку?
98740	101380	Здесь мы ее оцениваем в адресном отклике.
101380	108060	То есть здесь, когда мы закачиваем, мы, допустим, на одной нагнетательной начинаем закачивать воду,
108680	112420	закачка пошла, на ближайшее добывающее мы начинаем ловить от нее отклики.
112880	118780	И формируем дальше мы сеть, либо фронт, смотря как вы агентов будете строить и как их обучать.
119560	124080	Но смысл в том, что сразу просто уберечь, наверное, время больше,
124660	127820	не является целевой функцией закачать воду.
127820	134240	Я подробнее скажу еще про основные цели ППД, которые нужно предложить агенту для решения этой задачи.
134800	140080	В принципе, это такие базовые вещи, которые в командах, я думаю, если отрасновики есть, они вам подскажут.
141120	147060	Так, коэффициент использования фонда – это то, что, в принципе, у нас связано со скважинами.
148040	150860	Здесь подробно останавливаться не буду, в принципе, на формулах понятно.
151000	155520	Коэффициент использования – это число действующих скважин ко всем скважинам, которые есть.
155520	160820	Коэффициент эксплуатации – это время работы скважины фактическое, но календарное, которое, в принципе, есть.
161520	168300	Здесь как раз идет учет времени работы скважины с учетом простоев, ремонтов, нестабильности режима, циклика и всего прочего.
169180	172120	Иногда выгодно циклировать высокобводненную скважину.
172460	173420	Ну, это как подсказка тоже.
173420	182480	И коэффициент текущей компенсации – то, что раньше я рассказывал, когда у нас отбор опережает закачку, либо закачка опережает отбор.
182820	188940	И здесь возникают участки, когда, как она называется, локальная перекомпенсация в жизни.
189820	191880	Таких случаев может и не быть.
192280	196680	Могут у нас случаи быть, когда там нарушения какие-то по скважину возникнут раньше, чем мы перекачаем.
196680	198480	За колонной циркуляции возникло.
199380	205420	Ну, а если все-таки это возникает, то это у нас возникают зоны, где мы просто аномально высокое пластовое давление.
205520	207940	Вот такой фактор возникает в перекачанных зонах.
208460	211540	Но экономически это только нас съедает по проекту.
212360	220700	Теперь про пластовое забойное давление уже говорил, но просто как картинку оставить в памяти, что показывает собой пластовое давление.
220700	227420	Это запас пластовой энергии и характеристика общего состояния объекта разработки.
228960	236440	Забойное давление – это уже характеристика работы конкретно скважины, связанной с ее либо отбором, интенсивностью отбора, либо закачкой.
236540	242340	То есть это давление в зоне тренирования, в зоне интервала перфорации, то есть именно вот здесь.
243560	245000	Почему это различие критично?
245080	247060	Это различие критично для обучения.
247320	248500	Смотря на что будем обучать.
248500	253980	Нагнетательную скважину можно обучать на забойное давление закачки, можно обучать на пластовое.
254140	256180	То есть для этого есть своя чувствительность.
257320	265620	И теперь, что характеризует давление пластовое, характеризует энергетику пласта, давление забойное, локальный режим работы скважины конкретный.
266360	271660	И перепад между ними, между забойным и пластовым, это как раз вызывает движение жидкости.
271940	273440	Либо в одну сторону, либо в другую.
273440	274800	Вот, по простому языку, если.
275680	278140	Так, про компенсацию.
278500	280580	Ангур говорил.
281820	284900	Перейду к целям системы поддержания пластового давления.
284900	299100	Здесь выявил основные четыре цели, которые, в принципе, перед собой держит любой технолог, любой активист или служба, которая занимается планированием технологических режимов на скважинах.
299100	303020	Первое, что мы хотим, управлять фронтовым вытеснением без прорыва воды.
303340	311020	То есть здесь наша задача обеспечить равномерный охват пласта вытеснением и вовлечение запасов без прорыва воды.
311420	322360	То есть вот как на картинке показано, стадия, когда мы начинаем прорывать воду, практически как это в учебнике нарисовано, когда из поршневого мы на языковое обводнение начинаем выходить.
322360	327360	Здесь как раз мы хотим обеспечивать это фронтовый вытеснение равномерно.
327360	333560	Во втором треке разрешено переводить из добывающих нагнетательные скважины.
334180	341860	То есть и в этом случае вот это первая цель, первый пункт системы поддержания пластового давления, он будет очень актуален.
342160	349580	Если начинается разрежение добывающего ряда скважин нагнетательной скважины, новый там под закачку переводят,
349580	354420	то вы в этот момент начинаете вмешиваться напрямую во фронтовый вытеснение.
354420	357480	И здесь эти фронтовые вытеснения нужно уметь управлять.
358200	364720	Вторая цель – это компенсация, то, о чем мы говорили, поддерживать именно этот баланс отбора и закачки таким образом,
364880	367980	чтобы не терять по пластовому давлению и темпам.
368760	373740	То есть это равномерность именно по скважинам нужно соблюдать, по участкам этой компенсации.
374740	378000	И третье – поддержание пластового давления.
378000	384000	То есть это очень связано со вторым пунктом, но это вывел отдельно, потому что у нас есть участки, когда мы...
384420	389560	можем компенсацию держать на уровне единички, а пластовое давление падает.
390440	392260	Эти случаи тоже существуют в практике.
393220	399460	Кейсы их не задавали в явном виде, но они есть, потому что на втором модели есть аквифер.
401200	406400	И четвертое – разгрузка товарных парков в связи с инфраструктурой.
406400	414360	Когда, в принципе, мы товарный парк разгружаем от товарной воды, от воды, которую сбросили с жидкости.
415280	421280	Ну вот эти четыре цели – это, по сути, один общий набор правил и практик,
421800	428880	как агент должен управлять закачкой при подборе режима приема системы, при подборе заводнения.
428880	435420	Так, теперь перейду к следующему слайду – это метод регулирования заводнения.
436240	438760	Как мы можем это делать, как мы можем управлять?
439360	441140	Изменение направления хитрационных потоков.
441220	445100	То есть месторождение будет действующее уже в стадии разработки,
445680	447420	со своими режимами работы скважин,
447420	451560	и тестовое задание будет задаваться уже на уровне третьей стадии разработки,
451680	453380	когда все, в принципе, введено в эксплуатацию.
453380	458480	Поэтому здесь на этих стадиях остановился, не говоря уже о методах заводнения.
459500	463820	Здесь, например, первое, как мы можем управлять фондом –
463820	465660	это изменение фильтрационных потоков.
465980	469620	Самое высокое и эффективное – смене капитала емким вложением,
470320	473620	когда мы можем перераспределять отбор и закачку между скважинами.
474260	478780	Но когда это делает, например, специалист на практике,
478780	482780	это может через многовариантные расчеты производиться на гидрономических моделях,
483380	486060	это может на основе гидропрослушивания,
486160	487760	когда такие эксперименты были в компании.
488380	490700	То есть на уровне экспертного понимания области
490700	495060	человек говорит, там, специалист, гидродинамик или руководитель актива,
496000	499540	что у меня в этой зоне есть предположение на застойную нефть.
500140	503420	И необходимо перераспределить закачку, перераспределить добычу,
503960	507360	ввести в циклику, ну и таким образом он начинает эту застойную зону вырабатывать.
507360	510220	В нашем случае мы это все отдаем агенту, который мы хотим,
510780	512940	чтобы он это все понимал и на этом учился.
512940	514760	Для этого у вас будет модель синтетическая,
514920	518120	которую можно гонять вдоль и поперек по всем режимам,
518820	521360	с целью, чтобы агент начинал понимать физику пласта
521360	526240	с учетом тех ограничений базовые, которые я приводил по фильтрации,
526340	530880	по макбалансам, чтобы агент уже на этом уровне мог понимать,
531220	533200	куда качать эффективно, куда качать неэффективно.
533820	534980	Порсируем отбор жидкости.
534980	539960	То, что хочется сделать в первую очередь, здесь следует учитывать,
540720	544160	что неизбежно резкий рост обладненности.
544400	546500	Прорывы воды связаны с подвижностью воды.
546940	549160	Подвижность по воде высокая, подвижность по нефти низкая.
549640	550580	Вода будет прорываться.
552020	554100	А еще это будет зависеть от той проникцаемости коллектора,
554160	555600	которой у вас будут модели.
555860	556900	То есть это тоже нужно учитывать.
557160	558980	Не везде это будет работать равно и одинаково.
558980	562120	И не на всех стадиях это будет работать.
562880	565420	Здание высокого давления нагнетания.
566720	570480	То, что я об этом уже говорил, это тоже будет вести к тому,
570600	574000	что скважина будет принимать, пока не упрется в забойное давление,
574100	576160	в 300 атмосфер условно, но в модели задано.
577040	578800	Но это не означает о том, что это хорошо.
578800	582120	То есть вода будет уходить по пронесаемым зонам.
583540	585660	Либо в трещину, как это в жизни происходит.
586820	587860	И ключевое ограничение.
587860	590120	Любой из методов, который вот здесь перечислен,
590220	596440	он эффективен, только если сможете и заложите физическое основание расчета.
598060	599820	И именно вот это межскважинную корреляцию,
599980	604280	которую, в принципе, необходимо получить в процессе обучения агентов.
605740	608840	Про причины прорыва воды просто кратко повторю.
608980	610360	Это каналы высокой проводимости.
610580	613180	То есть мы смотрели до этого ОФП по воде, по нефти.
613680	617060	Самый идеальный случай просто нарисовал для поршневого вытянения.
617860	618580	Когда это происходит?
618660	620740	Когда у нас каналы высокой проводимости появляются,
621780	624320	будут трещины, будут разломы.
626320	628260	Заколонки, которые у нас, в принципе,
629580	634440	сразу при определенном градиенте давления принимают воду.
634440	636720	И потом, что еще?
638160	639320	А, про конус не сказал.
639920	643060	Низкое забойное давление быстро подтягивает конус снизу.
643140	647020	То есть я до этого говорил, что у нас вода от нагнетательной скважины может прийти.
647540	649960	В моделях у нас есть вода подошвенная.
650120	650900	Так она и называется.
651740	653600	Вода с аквифера в модели она задана.
653600	657360	Когда мы начинаем резко форсировать отбор жидкости,
657960	660200	при этом нагнетательные скважины могут стоять далеко,
660880	664940	но мы тем самым начинаем подтягивать конус воды снизу.
665340	667740	И тогда уже получим опять воду, но только уже снизу.
668420	669540	Вот эти вещи нужно учитывать.
669660	672840	Это именно наше физико-месторождение, физико-пласта,
673560	676380	которое нам нужно на этом уровне заложить в агент.
676380	678420	Так.
682020	684040	Вот у нас зарядка начинается.
685020	686560	Можем прерваться на 10 минут?
686820	687800	Григорий, слышите, не слышите?
702660	704400	Предлагаю всем сделать пока зарядку,
704400	706660	через 10 минут, когда вернуться.
707480	708920	Потому что, скорее всего, меня будет плохо слышно.
734400	764380	Продолжение следует...
764400	765400	Продолжение следует...
794400	795400	Продолжение следует...
824400	825400	Продолжение следует...
854400	855400	Продолжение следует...
884400	885400	Продолжение следует...
914400	915400	Продолжение следует...
944400	945400	Продолжение следует...
974400	975400	Продолжение следует...
1004400	1005400	Продолжение следует...
1005400	1005400	
1005400	1005400	
1005400	1005400	
1005400	1005400	
1005400	1005400	
1005400	1006400	Продолжение следует...
1006400	1006400	
1006400	1007400	Продолжение следует...
1007400	1007400	
1007400	1008400	Продолжение следует...
1008400	1008400	
1008400	1009400	Продолжение следует...
1009400	1010400	Продолжение следует...
1010400	1010400	
1010400	1011400	Продолжение следует...
1011400	1012400	Продолжение следует...
1012400	1013400	Продолжение следует...
1013400	1014400	Продолжение следует...
1014400	1015400	Продолжение следует...
1015400	1016400	Продолжение следует...
1016400	1017400	Продолжение следует...
1017400	1017400	
1017400	1018400	Продолжение следует...
1018400	1019400	Продолжение следует...
1019400	1020400	Продолжение следует...
1020400	1021400	Продолжение следует...
1021400	1022400	Продолжение следует...
1022400	1023400	Продолжение следует...
1023400	1024400	Продолжение следует...
1024400	1025400	Продолжение следует...
1025400	1026400	Продолжение следует...
1026400	1027400	Продолжение следует...
1027400	1028400	Продолжение следует...
1028400	1029400	Продолжение следует...
1029400	1030400	Продолжение следует...
1030400	1031400	Продолжение следует...
1031400	1032400	Продолжение следует...
1032400	1033400	Продолжение следует...
1033400	1034400	Продолжение следует...
1034400	1035400	Продолжение следует...
1035400	1036400	Продолжение следует...
1036400	1037400	Продолжение следует...
1037400	1038400	Продолжение следует...
1038400	1039400	Продолжение следует...
1039400	1040400	Продолжение следует...
1040400	1041400	Продолжение следует...
1041400	1042400	Продолжение следует...
1042400	1043400	Продолжение следует...
1043400	1044400	Продолжение следует...
1044400	1045400	!
